Interval (ms),PCM1.P1.MAP,PCM1.P19.BatteryVolts,PCM1.P19.Coolant_Temp,PCM1.P1.Final_AFR1,PCM1.P1.Final_AFR2,PCM1.P14.InjectorPW1,PCM1.P9.O2Fuel_MultA,PCM1.P9.O2Fuel_MultB,PCM1.P23.Primary_Fuel_Pressure,PCM1.P12.PrimaryCompensatedInjectorFlow,PCM1.P9.RPM,PCM1.P1.Spark_Advance_Log,PCM1.P20.Target_AFR,PCM1.P4.TimeSinceRun,PCM1.P2.TPS,PCM1.P3.WasteGate_SetPoint,PCM1.P3.NonDrivenWheelSpeed,PCM1.P3.DrivenWheelSpeed,PCM1.P20.Engine_HP_Potential,PCM1.P22.EngineTorque,PCM1.ERI.VarDecs.Primary_Injector_Duty
2023-02-19::06:06:29.270,-8.85,14.39,161.60,9.02,1.03,2078.00,1.00,1.00,50.47,1269.00,1066.00,20.46,10.00,385.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:29.291,-8.85,14.40,161.60,9.02,1.03,2072.00,1.00,1.00,50.04,1271.00,1076.00,20.47,10.00,385.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:29.321,-8.85,14.40,161.60,9.02,1.03,2070.00,1.00,1.00,50.47,1267.00,1080.00,20.93,10.00,385.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:29.342,-8.85,14.40,161.60,9.03,1.03,2070.00,1.00,1.00,50.04,1271.00,1079.00,20.91,10.00,385.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:29.364,-8.85,14.40,161.60,9.03,1.03,2068.00,1.00,1.00,50.47,1267.00,1074.00,20.92,10.00,385.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:29.399,-8.85,14.41,161.60,9.03,1.03,2068.00,1.00,1.00,50.47,1265.00,1080.00,20.44,10.00,385.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:29.420,-8.85,14.41,161.60,9.02,1.03,2070.00,1.00,1.00,50.33,1271.00,1083.00,20.91,10.00,385.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:29.447,-8.85,14.41,161.60,9.02,1.03,2079.00,1.00,1.00,50.33,1269.00,1087.00,20.88,10.00,385.00,2.00,22.05,0.00,0.00,10.00,48.00
2023-02-19::06:06:29.468,-8.85,14.41,161.60,9.02,1.03,2077.00,1.00,1.00,50.33,1269.00,1083.00,20.88,10.00,385.00,2.00,22.05,0.00,0.00,10.00,48.00
2023-02-19::06:06:29.490,-8.85,14.38,161.60,9.02,1.03,2077.00,1.00,1.00,50.47,1269.00,1083.00,20.90,10.00,385.00,2.00,22.05,0.00,0.00,10.00,48.00
